# Mvir[M_sun/h] sigma(M,0) sigma(0.5M,0) z D(z) D(z_f,peak) c_vir_sim c_vir_eps c_vir_eps2
9.727000e+12 1.481619 1.667349 0.0000 1.000000 0.644536 8.680173 9.855762 8.407382
9.706000e+12 1.482181 1.667945 0.0000 1.000000 0.644471 8.682168 9.858417 8.409310
9.683000e+12 1.482798 1.668600 0.0000 1.000000 0.644399 8.684352 9.861328 8.411427
9.683000e+12 1.482798 1.668600 0.0000 1.000000 0.644399 8.684352 9.861328 8.411427
9.667000e+12 1.483228 1.669056 0.0000 1.000000 0.644349 8.685878 9.863359 8.412901
9.489000e+12 1.488067 1.674189 0.0000 1.000000 0.643787 8.703027 9.886200 8.429498
9.483000e+12 1.488232 1.674363 0.0000 1.000000 0.643768 8.703619 9.886984 8.430062
9.446000e+12 1.489250 1.675444 0.0000 1.000000 0.643650 8.707215 9.891780 8.433549
9.394000e+12 1.490690 1.676971 0.0000 1.000000 0.643483 8.712317 9.898576 8.438486
9.340000e+12 1.492194 1.678566 0.0000 1.000000 0.643309 8.717643 9.905672 8.443637
9.233000e+12 1.495202 1.681755 0.0000 1.000000 0.642962 8.728297 9.919866 8.453936
9.225000e+12 1.495428 1.681996 0.0000 1.000000 0.642935 8.729087 9.920923 8.454711
9.214000e+12 1.495740 1.682326 0.0000 1.000000 0.642900 8.730197 9.922400 8.455778
9.144000e+12 1.497733 1.684439 0.0000 1.000000 0.642671 8.737251 9.931800 8.462602
8.985000e+12 1.502323 1.689305 0.0000 1.000000 0.642143 8.753487 9.953441 8.478304
8.943000e+12 1.503550 1.690606 0.0000 1.000000 0.642002 8.757823 9.959223 8.482500
8.937000e+12 1.503725 1.690792 0.0000 1.000000 0.641982 8.758438 9.960044 8.483095
8.859000e+12 1.506023 1.693228 0.0000 1.000000 0.641718 8.766559 9.970873 8.490951
8.770000e+12 1.508671 1.696035 0.0000 1.000000 0.641415 8.775912 9.983347 8.499998
8.768000e+12 1.508731 1.696098 0.0000 1.000000 0.641409 8.776129 9.983633 8.500205
8.761000e+12 1.508940 1.696320 0.0000 1.000000 0.641385 8.776863 9.984615 8.500917
8.714000e+12 1.510352 1.697817 0.0000 1.000000 0.641223 8.781846 9.991263 8.505739
8.710000e+12 1.510472 1.697945 0.0000 1.000000 0.641209 8.782264 9.991823 8.506146
8.670000e+12 1.511681 1.699226 0.0000 1.000000 0.641071 8.786535 9.997519 8.510275
8.606000e+12 1.513628 1.701289 0.0000 1.000000 0.640850 8.793411 10.006690 8.516923
8.606000e+12 1.513628 1.701289 0.0000 1.000000 0.640850 8.793411 10.006690 8.516923
8.540000e+12 1.515653 1.703434 0.0000 1.000000 0.640620 8.800564 10.016230 8.523835
8.455000e+12 1.518284 1.706224 0.0000 1.000000 0.640319 8.809829 10.028601 8.532806
8.422000e+12 1.519314 1.707315 0.0000 1.000000 0.640203 8.813465 10.033451 8.536323
8.414000e+12 1.519564 1.707580 0.0000 1.000000 0.640174 8.814345 10.034627 8.537175
8.389000e+12 1.520348 1.708410 0.0000 1.000000 0.640086 8.817115 10.038321 8.539848
